REGIONAL,MEDIO DE  RECEPCION,TIPO DE AFECTACION,RECURSO AFECTADO,MUNICIPIO,Periodo
Valles,Correo electrónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,GUARNE,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,RIONEGRO,2021
Valles,Telefónico,MOVIMIENTO DE TIERRAS,AGUA,EL CARMEN,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,GUARNE,2021
Aguas,Telefónico,CONFLICTOS POR USO DEL AGUA,AGUA,EL PEÑOL,2021
Porce,Pagina Web,MINERIA,SUELO,SANTO DOMINGO,2021
Porce,Correo electrónico,OLORES,AIRE,SANTO DOMINGO,2021
Valles,Correo electrónico,CONTAMINACION DEL AGUA,AGUA,SAN VICENTE,2021
Aguas,Telefónico,CONTAMINACION DEL AGUA,AGUA,GUATAPÉ,2021
Valles,Pagina Web,USO ILEGAL DEL AGUA,AGUA,GUARNE,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,LA UNIÓN,2021
Bosques,Telefónico,OLORES,AIRE,SONSÓN,2021
PORCE,Telefónico,MINERIA,AGUA,ALEJANDRÍA,2021
Bosques,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,COCORNÁ,2021
Valles,Telefónico,CONTAMINACION DEL AGUA,AGUA,RIONEGRO,2021
Aguas,Telefónico,USO ILEGAL DEL AGUA,AGUA,SAN CARLOS,2021
Aguas,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN CARLOS,2021
Aguas,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN CARLOS,2021
Paramo,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,ABEJORRAL,2021
Porce,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,SANTO DOMINGO,2021
Paramo,Pagina Web,MOVIMIENTO DE TIERRAS,AGUA,ABEJORRAL,2021
Valles,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,SAN VICENTE,2021
Valles,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,EL CARMEN,2021
Aguas,Telefónico,MOVIMIENTO DE TIERRAS,AGUA,SAN RAFAEL,2021
Bosques,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN LUIS,2021
Bosques,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN LUIS,2021
Valles,Telefónico,INTERVENCIÓN  DE CAUCE,AGUA,EL CARMEN,2021
Valles,Telefónico,CONTAMINACION DEL AGUA,AGUA,SAN VICENTE,2021
Valles,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,RIONEGRO,2021
Porce,Pagina Web,RETIRO A FUENTES HÍDRICAS,AGUA,CONCEPCIÓN,2021
